916 ----> uni0394	Δ
937 ----> uni03A9	Ω
956 ----> uni03BC	μ
1025 ----> uni0401	Ё
1040 ----> uni0410	А
1041 ----> uni0411	Б
1042 ----> uni0412	В
1043 ----> uni0413	Г
1044 ----> uni0414	Д
1045 ----> uni0415	Е
1046 ----> uni0416	Ж
1047 ----> uni0417	З
1048 ----> uni0418	И
1049 ----> uni0419	Й
1050 ----> uni041A	К
1051 ----> uni041B	Л
1052 ----> uni041C	М
1053 ----> uni041D	Н
1054 ----> uni041E	О
1055 ----> uni041F	П
1056 ----> uni0420	Р
1057 ----> uni0421	С
1058 ----> uni0422	Т
1059 ----> uni0423	У
1060 ----> uni0424	Ф
1061 ----> uni0425	Х
1062 ----> uni0426	Ц
1063 ----> uni0427	Ч
1064 ----> uni0428	Ш
1065 ----> uni0429	Щ
1066 ----> uni042A	Ъ
1067 ----> uni042B	Ы
1068 ----> uni042C	Ь
1069 ----> uni042D	Э
1070 ----> uni042E	Ю
1071 ----> uni042F	Я
1072 ----> uni0430	а
1073 ----> uni0431	б
1074 ----> uni0432	в
1075 ----> uni0433	г
1076 ----> uni0434	д
1077 ----> uni0435	е
1078 ----> uni0436	ж
1079 ----> uni0437	з
1080 ----> uni0438	и
1081 ----> uni0439	й
1082 ----> uni043A	к
1083 ----> uni043B	л
1084 ----> uni043C	м
1085 ----> uni043D	н
1086 ----> uni043E	о
1087 ----> uni043F	п
1088 ----> uni0440	р
1089 ----> uni0441	с
1090 ----> uni0442	т
1091 ----> uni0443	у
1092 ----> uni0444	ф
1093 ----> uni0445	х
1094 ----> uni0446	ц
1095 ----> uni0447	ч
1096 ----> uni0448	ш
1097 ----> uni0449	щ
1098 ----> uni044A	ъ
1099 ----> uni044B	ы
1100 ----> uni044C	ь
1101 ----> uni044D	э
1102 ----> uni044E	ю
1103 ----> uni044F	я
1105 ----> uni0451	ё
8208 ----> uni2010	‐
8213 ----> uni2015	―
8251 ----> uni203B	※
8451 ----> uni2103	℃
8470 ----> uni2116	№
8481 ----> uni2121	℡
8491 ----> uni212B	Å
8544 ----> uni2160	Ⅰ
8545 ----> uni2161	Ⅱ
8546 ----> uni2162	Ⅲ
8547 ----> uni2163	Ⅳ
8548 ----> uni2164	Ⅴ
8549 ----> uni2165	Ⅵ
8550 ----> uni2166	Ⅶ
8551 ----> uni2167	Ⅷ
8552 ----> uni2168	Ⅸ
8553 ----> uni2169	Ⅹ
8560 ----> uni2170	ⅰ
8561 ----> uni2171	ⅱ
8562 ----> uni2172	ⅲ
8563 ----> uni2173	ⅳ
8564 ----> uni2174	ⅴ
8565 ----> uni2175	ⅵ
8566 ----> uni2176	ⅶ
8567 ----> uni2177	ⅷ
8568 ----> uni2178	ⅸ
8569 ----> uni2179	ⅹ
8704 ----> universal	∀
8741 ----> uni2225	∥
8748 ----> uni222C	∬
8750 ----> uni222E	∮
8757 ----> uni2235	∵
8765 ----> uni223D	∽
8786 ----> uni2252	≒
8806 ----> uni2266	≦
8807 ----> uni2267	≧
8810 ----> uni226A	≪
8811 ----> uni226B	≫
8864 ----> uni22A0	⊠
8895 ----> uni22BF	⊿
8978 ----> uni2312	⌒
9312 ----> uni2460	①
9313 ----> uni2461	②
9314 ----> uni2462	③
9315 ----> uni2463	④
9316 ----> uni2464	⑤
9317 ----> uni2465	⑥
9318 ----> uni2466	⑦
9319 ----> uni2467	⑧
9320 ----> uni2468	⑨
9321 ----> uni2469	⑩
9322 ----> uni246A	⑪
9323 ----> uni246B	⑫
9324 ----> uni246C	⑬
9325 ----> uni246D	⑭
9326 ----> uni246E	⑮
9327 ----> uni246F	⑯
9328 ----> uni2470	⑰
9329 ----> uni2471	⑱
9330 ----> uni2472	⑲
9331 ----> uni2473	⑳
9473 ----> uni2501	━
9475 ----> uni2503	┃
9487 ----> uni250F	┏
9491 ----> uni2513	┓
9495 ----> uni2517	┗
9499 ----> uni251B	┛
9501 ----> uni251D	┝
9504 ----> uni2520	┠
9507 ----> uni2523	┣
9509 ----> uni2525	┥
9512 ----> uni2528	┨
9515 ----> uni252B	┫
9519 ----> uni252F	┯
9520 ----> uni2530	┰
9523 ----> uni2533	┳
9527 ----> uni2537	┷
9528 ----> uni2538	┸
9531 ----> uni253B	┻
9535 ----> uni253F	┿
9538 ----> uni2542	╂
